iteracion;latencia_ms
1;137.000
2;8.000
3;18.000
4;8.000
5;5.000
6;8.000
7;12.000
8;6.000
9;18.000
10;10.000
11;6.000
12;11.000
13;11.000
14;7.000
15;13.000
16;7.000
17;5.000
18;6.000
19;6.000
20;8.000
21;5.000
22;5.000
23;7.000
24;14.000
25;5.000
26;6.000
27;5.000
28;5.000
29;5.000
30;4.000
31;7.000
32;6.000
33;4.000
34;7.000
35;5.000
36;6.000
37;11.000
38;6.000
39;5.000
40;4.000
41;5.000
42;6.000
43;12.000
44;5.000
45;6.000
46;6.000
47;6.000
48;7.000
49;10.000
50;13.000
51;9.000
52;9.000
53;13.000
54;9.000
55;5.000
56;5.000
57;6.000
58;5.000
59;5.000
60;5.000
61;12.000
62;6.000
63;6.000
64;6.000
65;9.000
66;6.000
67;13.000
68;14.000
69;13.000
70;5.000
71;15.000
72;6.000
73;6.000
74;15.000
75;4.000
76;6.000
77;11.000
78;15.000
79;5.000
80;10.000
81;12.000
82;6.000
83;6.000
84;5.000
85;7.000
86;7.000
87;6.000
88;9.000
89;14.000
90;5.000
91;5.000
92;8.000
93;5.000
94;6.000
95;7.000
96;41.000
97;8.000
98;11.000
99;5.000
100;14.000
101;5.000
102;10.000
103;5.000
104;8.000
105;5.000
106;13.000
107;6.000
108;4.000
109;4.000
110;5.000
111;4.000
112;4.000
113;5.000
114;9.000
115;10.000
116;6.000
117;9.000
118;14.000
119;5.000
120;6.000
121;5.000
122;5.000
123;10.000
124;13.000
125;4.000
126;6.000
127;6.000
128;8.000
129;7.000
130;6.000
131;4.000
132;5.000
133;4.000
134;5.000
135;5.000
136;13.000
137;14.000
138;6.000
139;6.000
140;6.000
141;6.000
142;14.000
143;6.000
144;5.000
145;5.000
146;9.000
147;5.000
148;4.000
149;5.000
150;5.000
151;4.000
152;5.000
153;13.000
154;4.000
155;4.000
156;4.000
157;4.000
158;5.000
159;13.000
160;4.000
161;3.000
162;4.000
163;6.000
164;5.000
165;5.000
166;5.000
167;31.000
168;7.000
169;5.000
170;5.000
171;4.000
172;5.000
173;4.000
174;5.000
175;3.000
176;3.000
177;3.000
178;4.000
179;3.000
180;4.000
181;7.000
182;4.000
183;8.000
184;5.000
185;5.000
186;8.000
187;3.000
188;4.000
189;4.000
190;5.000
191;6.000
192;4.000
193;4.000
194;5.000
195;9.000
196;8.000
197;4.000
198;5.000
199;5.000
200;7.000
201;5.000
202;6.000
203;13.000
204;5.000
205;10.000
206;5.000
207;4.000
208;6.000
209;5.000
210;4.000
211;10.000
212;4.000
213;5.000
214;5.000
215;15.000
216;4.000
217;4.000
218;10.000
219;5.000
220;10.000
221;4.000
222;5.000
223;4.000
224;15.000
225;4.000
226;5.000
227;10.000
228;5.000
229;5.000
230;4.000
231;8.000
232;4.000
233;10.000
234;13.000
235;7.000
236;5.000
237;5.000
238;5.000
239;7.000
240;6.000
241;5.000
242;12.000
243;6.000
244;5.000
245;12.000
246;15.000
247;11.000
248;10.000
249;5.000
250;10.000
251;5.000
252;4.000
253;5.000
254;5.000
255;5.000
256;15.000
257;6.000
258;10.000
259;8.000
260;10.000
261;5.000
262;5.000
263;5.000
264;4.000
265;5.000
266;7.000
267;6.000
268;4.000
269;4.000
270;9.000
271;4.000
272;6.000
273;4.000
274;4.000
275;5.000
276;4.000
277;3.000
278;5.000
279;4.000
280;3.000
281;5.000
282;9.000
283;9.000
284;3.000
285;5.000
286;5.000
287;5.000
288;5.000
289;5.000
290;7.000
291;3.000
292;11.000
293;5.000
294;4.000
295;6.000
296;5.000
297;12.000
298;6.000
299;5.000
300;4.000
301;5.000
302;5.000
303;7.000
304;5.000
305;5.000
306;9.000
307;5.000
308;4.000
309;5.000
310;6.000
311;5.000
312;4.000
313;4.000
314;3.000
315;4.000
316;3.000
317;5.000
318;4.000
319;5.000
320;4.000
321;6.000
322;5.000
323;5.000
324;5.000
325;5.000
326;5.000
327;5.000
328;5.000
329;4.000
330;4.000
331;5.000
332;12.000
333;3.000
334;3.000
335;10.000
336;4.000
337;4.000
338;4.000
339;4.000
340;5.000
341;6.000
342;5.000
343;5.000
344;3.000
345;4.000
346;3.000
347;5.000
348;4.000
349;3.000
350;10.000
351;3.000
352;4.000
353;4.000
354;5.000
355;4.000
356;4.000
357;4.000
358;9.000
359;5.000
360;4.000
361;5.000
362;6.000
363;4.000
364;4.000
365;5.000
366;4.000
367;4.000
368;3.000
369;4.000
370;12.000
371;4.000
372;7.000
373;13.000
374;11.000
375;4.000
376;4.000
377;6.000
378;5.000
379;5.000
380;5.000
381;11.000
382;13.000
383;5.000
384;6.000
385;6.000
386;4.000
387;3.000
388;8.000
389;4.000
390;3.000
391;3.000
392;3.000
393;4.000
394;8.000
395;8.000
396;7.000
397;4.000
398;4.000
399;11.000
400;5.000
401;5.000
402;8.000
403;9.000
404;5.000
405;5.000
406;5.000
407;4.000
408;5.000
409;9.000
410;3.000
411;4.000
412;7.000
413;4.000
414;3.000
415;4.000
416;4.000
417;12.000
418;5.000
419;4.000
420;4.000
421;9.000
422;4.000
423;5.000
424;9.000
425;12.000
426;9.000
427;4.000
428;9.000
429;4.000
430;4.000
431;5.000
432;6.000
433;10.000
434;5.000
435;4.000
436;4.000
437;4.000
438;5.000
439;5.000
440;3.000
441;10.000
442;5.000
443;4.000
444;5.000
445;15.000
446;8.000
447;5.000
448;10.000
449;19.000
450;5.000
451;12.000
452;3.000
453;8.000
454;4.000
455;4.000
456;4.000
457;6.000
458;7.000
459;3.000
460;4.000
461;4.000
462;5.000
463;4.000
464;5.000
465;5.000
466;5.000
467;4.000
468;4.000
469;5.000
470;5.000
471;13.000
472;5.000
473;4.000
474;12.000
475;6.000
476;10.000
477;3.000
478;13.000
479;4.000
480;3.000
481;12.000
482;5.000
483;3.000
484;4.000
485;4.000
486;4.000
487;5.000
488;3.000
489;5.000
490;7.000
491;4.000
492;3.000
493;6.000
494;4.000
495;3.000
496;4.000
497;13.000
498;4.000
499;3.000
500;3.000
501;5.000
502;4.000
503;4.000
504;3.000
505;4.000
506;4.000
507;4.000
508;5.000
509;5.000
510;12.000
511;9.000
512;8.000
513;6.000
514;7.000
515;11.000
516;5.000
517;5.000
518;7.000
519;6.000
520;4.000
521;4.000
522;4.000
523;5.000
524;5.000
525;13.000
526;4.000
527;5.000
528;7.000
529;9.000
530;5.000
531;10.000
532;5.000
533;5.000
534;8.000
535;5.000
536;4.000
537;4.000
538;5.000
539;13.000
540;5.000
541;5.000
542;8.000
543;7.000
544;5.000
545;5.000
546;5.000
547;4.000
548;4.000
549;4.000
550;4.000
551;6.000
552;14.000
553;13.000
554;13.000
555;4.000
556;3.000
557;3.000
558;4.000
559;4.000
560;10.000
561;5.000
562;3.000
563;9.000
564;4.000
565;10.000
566;12.000
567;5.000
568;4.000
569;4.000
570;5.000
571;11.000
572;4.000
573;5.000
574;6.000
575;4.000
576;5.000
577;10.000
578;10.000
579;15.000
580;4.000
581;11.000
582;7.000
583;4.000
584;4.000
585;5.000
586;16.000
587;6.000
588;6.000
589;5.000
590;5.000
591;4.000
592;4.000
593;5.000
594;11.000
595;4.000
596;4.000
597;4.000
598;5.000
599;6.000
600;4.000
601;5.000
602;5.000
603;4.000
604;4.000
605;9.000
606;4.000
607;5.000
608;5.000
609;5.000
610;5.000
611;6.000
612;5.000
613;4.000
614;6.000
615;5.000
616;7.000
617;3.000
618;3.000
619;3.000
620;4.000
621;4.000
622;5.000
623;6.000
624;8.000
625;4.000
626;4.000
627;5.000
628;5.000
629;11.000
630;4.000
631;4.000
632;5.000
633;13.000
634;5.000
635;4.000
636;12.000
637;5.000
638;4.000
639;4.000
640;5.000
641;4.000
642;4.000
643;5.000
644;4.000
645;5.000
646;4.000
647;5.000
648;5.000
649;10.000
650;15.000
651;7.000
652;4.000
653;11.000
654;11.000
655;6.000
656;5.000
657;13.000
658;4.000
659;5.000
660;5.000
661;13.000
662;13.000
663;4.000
664;4.000
665;4.000
666;5.000
667;5.000
668;10.000
669;10.000
670;5.000
671;3.000
672;4.000
673;4.000
674;8.000
675;5.000
676;14.000
677;4.000
678;6.000
679;4.000
680;4.000
681;12.000
682;4.000
683;4.000
684;3.000
685;4.000
686;5.000
687;4.000
688;5.000
689;6.000
690;3.000
691;4.000
692;5.000
693;4.000
694;4.000
695;4.000
696;6.000
697;4.000
698;4.000
699;3.000
700;4.000
701;4.000
702;9.000
703;3.000
704;5.000
705;5.000
706;10.000
707;5.000
708;4.000
709;5.000
710;4.000
711;15.000
712;4.000
713;9.000
714;5.000
715;4.000
716;8.000
717;5.000
718;7.000
719;8.000
720;5.000
721;5.000
722;4.000
723;4.000
724;3.000
725;14.000
726;4.000
727;4.000
728;4.000
729;4.000
730;4.000
731;16.000
732;5.000
733;5.000
734;4.000
735;4.000
736;5.000
737;3.000
738;6.000
739;14.000
740;12.000
741;11.000
742;9.000
743;3.000
744;9.000
745;10.000
746;11.000
747;10.000
748;7.000
749;5.000
750;6.000
751;4.000
752;3.000
753;4.000
754;4.000
755;5.000
756;14.000
757;10.000
758;10.000
759;5.000
760;5.000
761;5.000
762;5.000
763;3.000
764;4.000
765;4.000
766;5.000
767;3.000
768;5.000
