iteracion,latencia_ms;
1;
2;
3;
4;
5;
6;
7;
8;
9;
10;
11;
12;
13;
14;
15;
16;
17;23.000
18;23.000
19;21.000
20;21.000
21;20.000
22;20.000
23;19.000
24;19.000
25;19.000
26;19.000
27;18.000
28;18.000
29;18.000
30;18.000
31;18.000
32;17.000
33;16.000
34;16.000
35;16.000
36;16.000
37;16.000
38;16.000
39;16.000
40;16.000
41;15.000
42;15.000
43;15.000
44;15.000
45;14.000
46;14.000
47;14.000
48;14.000
49;14.000
50;14.000
51;14.000
52;14.000
53;14.000
54;14.000
55;14.000
56;13.000
57;13.000
58;13.000
59;13.000
60;13.000
61;13.000
62;13.000
63;13.000
64;13.000
65;13.000
66;13.000
67;13.000
68;13.000
69;13.000
70;13.000
71;12.000
72;12.000
73;12.000
74;12.000
75;12.000
76;12.000
77;12.000
78;12.000
79;12.000
80;12.000
81;12.000
82;12.000
83;12.000
84;12.000
85;12.000
86;12.000
87;12.000
88;11.000
89;11.000
90;11.000
91;11.000
92;11.000
93;11.000
94;11.000
95;11.000
96;11.000
97;11.000
98;11.000
99;11.000
100;11.000
101;11.000
102;11.000
103;11.000
104;11.000
105;11.000
106;11.000
107;11.000
108;11.000
109;11.000
110;11.000
111;11.000
112;11.000
113;11.000
114;11.000
115;11.000
116;11.000
117;11.000
118;11.000
119;11.000
120;11.000
121;10.000
122;10.000
123;10.000
124;10.000
125;10.000
126;10.000
127;10.000
128;10.000
129;10.000
130;10.000
131;10.000
132;10.000
133;10.000
134;10.000
135;10.000
136;10.000
137;10.000
138;10.000
139;10.000
140;10.000
141;10.000
142;10.000
143;10.000
144;10.000
145;10.000
146;10.000
147;10.000
148;10.000
149;10.000
150;10.000
151;9.000
152;9.000
153;9.000
154;9.000
155;9.000
156;9.000
157;9.000
158;9.000
159;9.000
160;9.000
161;9.000
162;9.000
163;9.000
164;9.000
165;9.000
166;9.000
167;9.000
168;9.000
169;9.000
170;9.000
171;9.000
172;9.000
173;9.000
174;9.000
175;9.000
176;9.000
177;9.000
178;9.000
179;9.000
180;9.000
181;9.000
182;9.000
183;9.000
184;9.000
185;9.000
186;9.000
187;9.000
188;9.000
189;9.000
190;9.000
191;9.000
192;9.000
193;9.000
194;9.000
195;9.000
196;9.000
197;9.000
198;9.000
199;9.000
200;9.000
201;9.000
202;9.000
203;9.000
204;9.000
205;9.000
206;9.000
207;9.000
208;9.000
209;9.000
210;9.000
211;9.000
212;9.000
213;9.000
214;9.000
215;9.000
216;8.000
217;8.000
218;8.000
219;8.000
220;8.000
221;8.000
222;8.000
223;8.000
224;8.000
225;8.000
226;8.000
227;8.000
228;8.000
229;8.000
230;8.000
231;8.000
232;8.000
233;8.000
234;8.000
235;8.000
236;8.000
237;8.000
238;8.000
239;8.000
240;8.000
241;8.000
242;8.000
243;8.000
244;8.000
245;8.000
246;8.000
247;8.000
248;8.000
249;8.000
250;8.000
251;8.000
252;8.000
253;8.000
254;8.000
255;8.000
256;8.000
257;8.000
258;8.000
259;8.000
260;8.000
261;8.000
262;8.000
263;8.000
264;8.000
265;8.000
266;8.000
267;8.000
268;8.000
269;8.000
270;8.000
271;8.000
272;8.000
273;8.000
274;8.000
275;8.000
276;8.000
277;8.000
278;8.000
279;8.000
280;8.000
281;8.000
282;8.000
283;8.000
284;8.000
285;8.000
286;8.000
287;8.000
288;8.000
289;8.000
290;8.000
291;8.000
292;8.000
293;8.000
294;8.000
295;8.000
296;8.000
297;8.000
298;8.000
299;8.000
300;8.000
301;8.000
302;8.000
303;8.000
304;8.000
305;8.000
306;8.000
307;8.000
