iteracion;latencia_ms
1;
2;
3;
4;
5;
6;
7;
8;
9;
10;
11;
12;
13;
14;
15;
16;
17;
18;
19;
20;
21;
22;
23;
24;
25;
26;
27;
28;
29;
30;
31;
32;23.000
33;22.000
34;22.000
35;21.000
36;20.000
37;20.000
38;20.000
39;20.000
40;20.000
41;19.000
42;19.000
43;19.000
44;19.000
45;19.000
46;19.000
47;18.000
48;18.000
49;18.000
50;18.000
51;17.000
52;17.000
53;17.000
54;17.000
55;17.000
56;17.000
57;17.000
58;17.000
59;17.000
60;16.000
61;16.000
62;16.000
63;16.000
64;16.000
65;16.000
66;16.000
67;16.000
68;16.000
69;16.000
70;16.000
71;15.000
72;15.000
73;15.000
74;15.000
75;15.000
76;15.000
77;15.000
78;15.000
79;15.000
80;15.000
81;15.000
82;15.000
83;15.000
84;15.000
85;15.000
86;15.000
87;15.000
88;15.000
89;15.000
90;15.000
91;15.000
92;14.000
93;14.000
94;14.000
95;14.000
96;14.000
97;14.000
98;14.000
99;14.000
100;14.000
101;14.000
102;14.000
103;14.000
104;14.000
105;14.000
106;14.000
107;14.000
108;14.000
109;14.000
110;14.000
111;14.000
112;14.000
113;14.000
114;14.000
115;14.000
116;14.000
117;14.000
118;14.000
119;14.000
120;13.000
121;13.000
122;13.000
123;13.000
124;13.000
125;13.000
126;13.000
127;13.000
128;13.000
129;13.000
130;13.000
131;13.000
132;13.000
133;13.000
134;13.000
135;13.000
136;13.000
137;13.000
138;13.000
139;13.000
140;13.000
141;13.000
142;13.000
143;13.000
144;13.000
145;13.000
146;13.000
147;13.000
148;13.000
149;13.000
150;13.000
151;13.000
152;13.000
153;13.000
154;13.000
155;13.000
156;13.000
157;13.000
158;13.000
159;13.000
160;13.000
161;13.000
162;13.000
163;13.000
164;13.000
165;13.000
166;13.000
167;13.000
168;12.000
169;12.000
170;12.000
171;12.000
172;12.000
173;12.000
174;12.000
175;12.000
176;12.000
177;12.000
178;12.000
179;12.000
180;12.000
181;12.000
182;12.000
183;12.000
184;12.000
185;12.000
186;12.000
187;12.000
188;12.000
189;12.000
190;12.000
191;12.000
192;12.000
193;12.000
194;12.000
195;12.000
196;12.000
197;12.000
198;12.000
199;12.000
200;12.000
201;12.000
202;12.000
203;12.000
204;12.000
205;12.000
206;12.000
207;12.000
208;12.000
209;12.000
210;12.000
211;12.000
212;12.000
213;12.000
214;12.000
215;12.000
216;12.000
217;12.000
218;12.000
219;12.000
220;12.000
221;12.000
222;12.000
223;12.000
224;12.000
225;12.000
226;12.000
227;12.000
228;12.000
229;12.000
230;12.000
231;12.000
232;12.000
233;12.000
234;12.000
235;12.000
236;12.000
237;12.000
238;12.000
239;12.000
240;12.000
241;12.000
242;12.000
243;12.000
244;12.000
245;12.000
246;12.000
247;11.000
248;11.000
249;11.000
250;11.000
251;11.000
252;11.000
253;11.000
254;11.000
255;11.000
256;11.000
257;11.000
258;11.000
259;11.000
260;11.000
261;11.000
262;11.000
263;11.000
264;11.000
265;11.000
266;11.000
267;11.000
268;11.000
269;11.000
270;11.000
271;11.000
272;11.000
273;11.000
274;11.000
275;11.000
276;11.000
277;11.000
278;11.000
279;11.000
280;11.000
281;11.000
282;11.000
283;11.000
284;11.000
285;11.000
286;11.000
287;11.000
288;11.000
289;11.000
290;11.000
291;11.000
292;11.000
293;11.000
294;11.000
295;11.000
296;11.000
297;11.000
298;11.000
299;11.000
300;11.000
301;11.000
302;11.000
303;11.000
304;11.000
305;11.000
306;11.000
307;11.000
308;11.000
309;11.000
310;11.000
311;11.000
312;11.000
313;11.000
314;11.000
