iteracion;latencia_ms
1;225.000
2;67.000
3;46.000
4;39.000
5;44.000
6;33.000
7;34.000
8;34.000
9;31.000
10;33.000
11;25.000
12;24.000
13;9.000
14;8.000
15;7.000
16;9.000
17;7.000
18;7.000
19;7.000
20;9.000
21;9.000
22;7.000
23;7.000
24;14.000
25;6.000
26;6.000
27;6.000
28;14.000
29;7.000
30;14.000
31;10.000
32;10.000
33;12.000
34;10.000
35;12.000
36;12.000
37;13.000
38;7.000
39;8.000
40;7.000
41;9.000
42;11.000
43;12.000
44;11.000
45;10.000
46;9.000
47;10.000
48;12.000
49;11.000
50;9.000
51;10.000
52;10.000
53;11.000
54;10.000
55;11.000
56;10.000
57;10.000
58;11.000
59;10.000
60;11.000
61;11.000
62;11.000
63;10.000
64;11.000
65;11.000
66;14.000
67;10.000
68;7.000
69;8.000
70;10.000
71;8.000
72;11.000
73;11.000
74;8.000
75;7.000
76;8.000
77;7.000
78;11.000
79;11.000
80;8.000
81;11.000
82;8.000
83;12.000
84;8.000
85;7.000
86;7.000
87;8.000
88;8.000
89;7.000
90;7.000
91;11.000
92;8.000
93;9.000
94;9.000
95;9.000
96;11.000
97;8.000
98;8.000
99;8.000
100;10.000
101;9.000
102;8.000
103;9.000
104;8.000
105;9.000
106;9.000
107;9.000
108;10.000
109;8.000
110;9.000
111;10.000
112;10.000
113;10.000
114;12.000
115;10.000
116;10.000
117;12.000
118;11.000
119;11.000
120;9.000
121;12.000
122;11.000
123;13.000
124;11.000
125;12.000
126;9.000
127;7.000
128;9.000
129;7.000
130;7.000
131;13.000
132;11.000
133;10.000
134;11.000
135;11.000
136;10.000
137;15.000
138;10.000
139;10.000
140;10.000
141;9.000
142;9.000
143;11.000
144;10.000
145;10.000
146;11.000
147;11.000
148;11.000
149;10.000
150;12.000
151;9.000
152;9.000
153;10.000
154;9.000
155;12.000
156;9.000
157;11.000
158;6.000
159;8.000
160;10.000
161;12.000
162;10.000
163;13.000
164;9.000
165;9.000
166;10.000
167;9.000
168;12.000
169;12.000
170;10.000
171;11.000
172;14.000
173;9.000
174;10.000
175;9.000
176;9.000
177;8.000
178;8.000
179;7.000
180;7.000
181;9.000
182;9.000
183;8.000
184;9.000
185;10.000
186;9.000
187;5.000
188;6.000
189;6.000
190;6.000
191;6.000
192;6.000
193;7.000
194;5.000
195;6.000
196;6.000
197;7.000
198;6.000
199;7.000
200;7.000
201;6.000
202;6.000
203;7.000
204;6.000
205;21.000
206;6.000
207;7.000
208;7.000
209;7.000
210;6.000
211;6.000
212;5.000
213;9.000
214;6.000
215;8.000
216;5.000
217;6.000
218;5.000
219;5.000
220;6.000
221;6.000
222;10.000
223;6.000
224;8.000
225;6.000
226;7.000
227;6.000
228;5.000
229;5.000
230;6.000
231;6.000
232;6.000
233;6.000
234;7.000
235;20.000
236;5.000
237;7.000
238;5.000
239;6.000
240;7.000
241;9.000
242;9.000
243;9.000
244;9.000
245;10.000
246;10.000
247;10.000
248;9.000
249;10.000
250;10.000
251;9.000
252;9.000
253;9.000
254;9.000
255;7.000
256;10.000
257;16.000
258;13.000
259;10.000
260;8.000
261;10.000
262;10.000
263;10.000
264;10.000
265;9.000
266;8.000
267;15.000
268;11.000
269;11.000
270;11.000
271;11.000
272;9.000
273;10.000
274;10.000
275;11.000
276;10.000
277;10.000
278;10.000
279;10.000
280;12.000
281;13.000
282;10.000
283;9.000
284;12.000
285;9.000
286;9.000
287;10.000
288;10.000
289;9.000
290;13.000
291;10.000
292;6.000
293;10.000
294;9.000
295;11.000
296;9.000
297;9.000
298;9.000
299;10.000
300;9.000
301;9.000
302;10.000
303;10.000
304;8.000
305;10.000
306;11.000
307;9.000
308;9.000
309;9.000
310;8.000
311;9.000
312;10.000
313;9.000
314;9.000
315;9.000
316;10.000
317;15.000
318;4.000
319;7.000
320;6.000
321;7.000
322;6.000
323;6.000
324;6.000
325;9.000
326;12.000
327;7.000
328;6.000
329;7.000
330;7.000
331;8.000
332;7.000
333;6.000
334;7.000
335;11.000
336;9.000
337;11.000
338;26.000
339;16.000
340;8.000
341;9.000
342;17.000
343;8.000
344;8.000
345;4.000
346;5.000
347;5.000
348;5.000
349;6.000
350;5.000
351;6.000
352;6.000
353;6.000
354;6.000
355;8.000
356;10.000
357;7.000
358;8.000
359;7.000
360;9.000
361;8.000
362;13.000
363;8.000
364;8.000
365;9.000
366;9.000
367;8.000
368;9.000
369;9.000
370;10.000
371;11.000
372;8.000
373;9.000
374;14.000
375;10.000
376;8.000
377;8.000
378;8.000
379;10.000
380;11.000
381;9.000
382;8.000
383;8.000
384;9.000
385;14.000
386;8.000
387;14.000
388;9.000
389;11.000
390;12.000
391;8.000
392;9.000
393;8.000
394;8.000
395;8.000
396;9.000
397;9.000
398;10.000
399;8.000
400;10.000
401;7.000
402;9.000
403;8.000
404;9.000
405;8.000
406;8.000
407;9.000
408;8.000
409;9.000
410;5.000
411;5.000
412;11.000
413;8.000
414;8.000
415;8.000
416;9.000
417;8.000
418;8.000
419;15.000
420;9.000
421;8.000
422;7.000
423;9.000
424;8.000
425;10.000
426;8.000
427;8.000
428;8.000
429;8.000
430;7.000
431;8.000
432;9.000
433;9.000
434;8.000
435;9.000
436;9.000
437;9.000
438;8.000
439;8.000
440;11.000
441;9.000
442;9.000
443;8.000
444;9.000
445;10.000
446;8.000
447;9.000
448;9.000
449;5.000
450;6.000
451;5.000
452;6.000
453;6.000
454;6.000
455;6.000
456;5.000
457;6.000
458;6.000
459;6.000
460;7.000
461;5.000
462;8.000
463;6.000
464;8.000
465;12.000
466;8.000
467;8.000
468;7.000
469;8.000
470;8.000
471;8.000
472;8.000
473;8.000
474;7.000
475;8.000
476;8.000
477;8.000
478;7.000
479;7.000
480;7.000
481;7.000
482;7.000
483;7.000
484;13.000
485;8.000
486;9.000
487;8.000
488;9.000
489;17.000
490;12.000
491;7.000
492;7.000
493;8.000
494;8.000
495;7.000
496;4.000
497;6.000
498;5.000
499;6.000
500;5.000
501;5.000
502;6.000
503;6.000
504;5.000
505;5.000
506;5.000
507;10.000
508;12.000
509;13.000
510;10.000
511;13.000
512;10.000
513;10.000
514;9.000
515;10.000
516;10.000
517;10.000
518;9.000
519;10.000
520;10.000
521;9.000
522;11.000
523;9.000
524;8.000
525;9.000
526;10.000
527;8.000
528;9.000
529;9.000
530;10.000
531;9.000
532;10.000
533;11.000
534;7.000
535;6.000
536;6.000
537;6.000
538;13.000
539;6.000
540;7.000
541;7.000
542;8.000
543;12.000
544;9.000
545;8.000
546;9.000
547;8.000
548;9.000
549;10.000
550;9.000
551;9.000
552;11.000
553;6.000
554;6.000
555;6.000
556;6.000
557;7.000
558;7.000
559;6.000
560;7.000
561;7.000
562;6.000
563;11.000
564;10.000
565;9.000
566;10.000
567;10.000
568;9.000
569;10.000
570;14.000
571;9.000
572;8.000
573;9.000
574;8.000
575;9.000
576;9.000
577;8.000
578;8.000
579;11.000
580;8.000
581;9.000
582;8.000
583;8.000
584;7.000
585;8.000
586;16.000
587;10.000
588;9.000
589;9.000
590;9.000
591;7.000
592;17.000
593;10.000
